7,3,577,19,626,178,854,480
7,4,500,45,636,418,854,480
8,3,579,17,616,139,854,480
8,4,500,51,634,417,854,480
9,4,500,48,636,417,854,480
10,4,499,47,636,417,854,480
11,4,498,46,636,419,854,480
12,4,498,45,638,420,854,480
13,4,500,44,641,421,854,480
14,4,503,46,645,419,854,480
14,5,532,11,595,129,854,480
15,4,506,43,651,419,854,480
15,5,499,9,610,221,854,480
16,4,506,43,653,419,854,480
16,5,489,8,614,252,854,480
17,4,508,43,656,419,854,480
17,5,483,5,611,260,854,480
18,4,517,43,667,418,854,480
18,5,479,2,606,261,854,480
19,4,523,43,674,417,854,480
19,5,470,3,595,260,854,480
20,4,531,45,682,417,854,480
20,5,461,4,584,256,854,480
21,4,539,44,690,419,854,480
21,5,455,4,577,254,854,480
22,4,542,43,694,419,854,480
22,5,453,3,574,253,854,480
23,4,551,42,703,419,854,480
23,5,450,6,572,259,854,480
24,4,559,41,711,417,854,480
24,5,447,10,567,257,854,480
25,4,566,40,717,417,854,480
25,5,446,11,564,255,854,480
26,4,573,39,723,417,854,480
26,5,444,7,562,251,854,480
27,4,577,39,725,416,854,480
27,5,443,5,560,248,854,480
28,4,578,39,725,416,854,480
28,5,443,5,559,247,854,480
29,4,582,42,726,416,854,480
29,5,443,5,558,245,854,480
30,4,587,40,730,417,854,480
30,5,443,6,555,242,854,480
31,4,589,40,731,418,854,480
31,5,442,6,552,240,854,480
32,4,590,40,731,419,854,480
32,5,442,5,549,236,854,480
33,4,591,39,731,419,854,480
33,5,442,5,545,231,854,480
34,4,591,39,730,419,854,480
34,5,442,5,543,228,854,480
35,4,592,38,729,419,854,480
35,5,437,3,536,226,854,480
36,4,593,38,729,418,854,480
36,5,433,3,529,225,854,480
37,4,593,37,728,418,854,480
37,5,427,3,521,223,854,480
38,4,594,37,728,417,854,480
38,5,421,4,512,220,854,480
39,4,595,39,727,415,854,480
39,5,417,5,506,218,854,480
40,4,596,39,726,414,854,480
40,5,416,6,504,218,854,480
41,4,596,37,726,415,854,480
41,5,412,6,499,218,854,480
42,4,597,34,725,408,854,480
42,5,407,5,494,219,854,480
43,4,598,32,725,405,854,480
43,5,403,5,490,219,854,480
44,4,598,28,723,401,854,480
44,5,402,5,487,218,854,480
45,4,600,25,722,395,854,480
45,5,401,4,485,217,854,480
46,4,600,24,722,394,854,480
46,5,401,4,484,217,854,480
47,4,600,25,721,395,854,480
47,5,399,3,482,217,854,480
48,4,601,24,718,386,854,480
48,5,395,3,479,217,854,480
49,4,603,23,716,374,854,480
49,5,392,5,475,215,854,480
50,4,604,23,715,366,854,480
50,5,393,7,475,213,854,480
51,4,604,22,714,365,854,480
51,5,392,8,474,214,854,480
52,4,604,21,714,364,854,480
52,5,392,8,474,215,854,480
53,4,605,20,713,355,854,480
53,5,389,8,474,215,854,480
54,4,606,20,712,348,854,480
54,5,388,7,473,214,854,480
55,4,602,19,708,348,854,480
55,5,386,7,472,212,854,480
56,4,601,20,707,347,854,480
56,5,380,7,465,210,854,480
57,4,601,19,706,346,854,480
57,5,377,7,459,204,854,480
58,4,601,20,706,347,854,480
58,5,376,7,457,202,854,480
59,4,601,19,706,346,854,480
59,5,374,8,454,199,854,480
60,4,601,19,706,345,854,480
60,5,371,8,449,197,854,480
61,4,601,19,705,344,854,480
61,5,366,7,443,197,854,480
62,4,600,19,705,344,854,480
62,5,360,5,436,199,854,480
63,4,600,18,705,344,854,480
63,5,353,4,426,196,854,480
64,4,600,18,705,345,854,480
64,5,350,3,422,194,854,480
65,4,600,19,704,344,854,480
65,5,347,4,418,199,854,480
66,4,600,19,705,345,854,480
66,5,346,4,416,201,854,480
67,4,601,19,705,345,854,480
67,5,345,4,414,201,854,480
68,4,600,20,705,344,854,480
68,5,340,4,409,201,854,480
69,4,600,18,705,345,854,480
69,5,334,5,404,199,854,480
70,4,600,18,705,346,854,480
70,5,333,5,403,199,854,480
71,4,600,16,705,348,854,480
71,5,330,6,401,199,854,480
72,4,600,13,705,347,854,480
72,5,326,5,400,201,854,480
73,4,601,13,704,341,854,480
73,5,324,5,399,201,854,480
74,4,602,12,703,336,854,480
74,5,323,4,401,202,854,480
75,4,601,12,702,333,854,480
75,5,322,4,402,203,854,480
76,4,602,11,702,331,854,480
76,5,322,3,403,203,854,480
77,4,601,11,701,326,854,480
77,5,323,7,403,199,854,480
78,4,601,10,699,320,854,480
78,5,322,6,404,201,854,480
79,4,602,8,697,309,854,480
79,5,317,6,400,200,854,480
80,4,602,7,695,301,854,480
80,5,312,5,396,200,854,480
81,4,601,6,694,299,854,480
81,5,307,3,392,199,854,480
82,4,600,5,693,299,854,480
82,5,306,3,390,199,854,480
83,4,597,4,691,298,854,480
83,5,303,2,388,199,854,480
84,4,594,5,688,295,854,480
84,5,296,3,380,197,854,480
85,4,591,5,686,294,854,480
85,5,294,5,375,195,854,480
86,4,587,5,684,293,854,480
86,5,285,6,365,197,854,480
87,4,584,6,682,292,854,480
87,5,279,9,356,196,854,480
88,4,582,6,681,292,854,480
88,5,277,10,352,197,854,480
89,4,580,7,680,291,854,480
89,5,274,11,347,196,854,480
90,4,578,7,679,293,854,480
90,5,272,10,344,196,854,480
91,4,576,7,678,291,854,480
91,5,270,10,341,195,854,480
92,4,575,7,678,289,854,480
92,5,269,8,340,197,854,480
93,4,574,6,678,289,854,480
93,5,268,9,339,198,854,480
94,4,573,6,678,288,854,480
94,5,268,9,339,198,854,480
95,4,567,5,674,289,854,480
95,5,267,10,337,198,854,480
96,4,563,5,670,288,854,480
96,5,265,10,336,196,854,480
97,4,560,6,667,289,854,480
97,5,261,10,333,197,854,480
98,4,556,3,667,294,854,480
98,5,255,10,329,199,854,480
99,4,554,3,665,294,854,480
99,5,252,10,326,200,854,480
101,6,492,5,535,171,854,480
102,6,490,4,533,171,854,480
103,6,490,4,533,171,854,480
104,6,489,5,531,169,854,480
105,6,487,6,529,169,854,480
106,6,486,6,528,169,854,480
107,6,485,6,527,169,854,480
107,7,427,66,470,137,854,480
108,6,482,5,525,169,854,480
108,7,428,66,471,138,854,480
109,6,481,5,524,169,854,480
109,7,428,66,471,138,854,480
110,6,479,5,522,168,854,480
111,6,475,6,520,170,854,480
112,6,473,6,519,171,854,480
